192.168.1.10 - - [24/Feb/2026:10:01:12 +0000] "GET /index.html HTTP/1.1" 200 1024
185.243.44.12 - - [24/Feb/2026:10:01:13 +0000] "POST /login HTTP/1.1" 401 512
185.243.44.12 - - [24/Feb/2026:10:01:14 +0000] "POST /login HTTP/1.1" 401 512
185.243.44.12 - - [24/Feb/2026:10:01:15 +0000] "POST /login HTTP/1.1" 401 512
185.243.44.12 - - [24/Feb/2026:10:01:16 +0000] "POST /login HTTP/1.1" 401 512
203.0.113.77 - - [24/Feb/2026:10:02:02 +0000] "GET /admin HTTP/1.1" 403 256
45.33.21.9 - - [24/Feb/2026:10:02:10 +0000] "GET /api/data HTTP/1.1" 200 2048
45.33.21.9 - - [24/Feb/2026:10:02:11 +0000] "GET /api/data HTTP/1.1" 200 2048
45.33.21.9 - - [24/Feb/2026:10:02:12 +0000] "GET /api/data HTTP/1.1" 200 2048
45.33.21.9 - - [24/Feb/2026:10:02:13 +0000] "GET /api/data HTTP/1.1" 429 128
172.16.0.2 - - [24/Feb/2026:10:03:45 +0000] "POST /api/login HTTP/1.1" 500 640
